"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Sospecha de campo minado","SANTANDER","68","SAN VICENTE DE CHUCURÍ","68,689","2,014","10","Incidente","Fincas","Rural","6.84073","-73.53009","Sospecha De Campo Minado","POINT (-73.53009 6.84073)"
"Sospecha de campo minado","SANTANDER","68","EL CARMEN","68,235","2,013","9","Incidente","Campo","Rural","6.72416","-73.60923","Sospecha De Campo Minado","POINT (-73.60923 6.72416)"
"Sospecha de campo minado","ANTIOQUIA","5","GRANADA","5,313","2,015","4","Incidente","Campo","Rural","6.11738","-75.10259","Sospecha De Campo Minado","POINT (-75.10259 6.11738)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,015","5","Incidente","Oleoductos","Rural","7.010011111","-71.44830556","Vereda Peralonso","POINT (-71.44830556 7.010011111)"
"Accidente por MAP","NORTE DE SANTANDER","54","TIBÚ","54,810","2,015","5","Accidente","Sin informacion","Rural","8.84638888889","-72.79972222222","Sector La Virgen","POINT (-72.7997222222222 8.84638888888889)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,015","3","Incidente","Sin informacion","Rural","0.5036111111","-76.45666667","Vereda El Aguila","POINT (-76.45666667 0.5036111111)"
"Desminado militar en operaciones","GUAVIARE","95","CALAMAR","95,015","2,015","4","Incidente","Sin informacion","Rural","1.9616666667","-72.65333333","Puente Que Comunica Las Instalaciones Del Batallon","POINT (-72.65333333 1.9616666667)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","EL TARRA","54,250","2,015","4","Incidente","Sin informacion","Rural","8.6213888889","-73.10138889","Vereda Divino Niño","POINT (-73.10138889 8.6213888889)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,010","3","Incidente","Sin informacion","Rural","3.315556","-74.099167","Guadualeja","POINT (-74.099167 3.315556)"
"Desminado militar en operaciones","ANTIOQUIA","5","APARTADÓ","5,045","2,010","3","Incidente","Sin informacion","Rural","7.895833","-76.572778","La Vereda Guineo Alto","POINT (-76.572778 7.895833)"
"Incautaciones","HUILA","41","COLOMBIA","41,206","2,009","10","Incidente","Caleta","Rural","3.3025","-74.778333","La Holanda","POINT (-74.778333 3.3025)"
"Desminado militar en operaciones","HUILA","41","NEIVA","41,001","2,010","3","Incidente","Sin informacion","Rural","2.936944","-75.045","La Vegalarga","POINT (-75.045 2.936944)"
"Desminado militar en operaciones","PUTUMAYO","86","ORITO","86,320","2,009","10","Incidente","Sin informacion","Rural","0.650833","-77.141111","Las Ventanas","POINT (-77.141111 0.650833)"
"Desminado militar en operaciones","TOLIMA","73","ORTEGA","73,504","2,008","6","Incidente","Sin informacion","Rural","3.947778","-75.383056","Vereda San Miguel","POINT (-75.383056 3.947778)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","LABATECA","54,377","2,009","10","Incidente","Sin informacion","Rural","7.271944","-72.547222","El Tincala","POINT (-72.547222 7.271944)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,009","4","Incidente","Sin informacion","Rural","2.613889","-74.694167","El Rio Coreguaje","POINT (-74.694167 2.613889)"
"Desminado militar en operaciones","CORDOBA","23","TIERRALTA","23,807","2,009","4","Incidente","Sin informacion","Rural","7.826667","-76.037778","El Manso","POINT (-76.037778 7.826667)"
"Desminado militar en operaciones","ANTIOQUIA","5","SAN FRANCISCO","5,652","2,009","3","Incidente","Sin informacion","Rural","5.948056","-75.055833","La Vereda El Boqueron","POINT (-75.055833 5.948056)"
"Desminado militar en operaciones","HUILA","41","COLOMBIA","41,206","2,009","1","Incidente","Sin informacion","Rural","3.731944","-74.531389","La Vereda Tapiales","POINT (-74.531389 3.731944)"
